epoch,goal_achieved
716,"[True, True, True, True, True]"
717,"[False, True, True, False, True]"
718,"[True, True, False, True, True]"
719,"[True, False, True, False, True]"
720,"[True, True, True, True, True]"
721,"[True, True, True, True, True]"
722,"[True, True, False, True, False]"
723,"[True, False, True, True, True]"
724,"[False, True, True, True, True]"
725,"[True, True, False, True, True]"
726,"[True, False, False, True, False]"
727,"[False, True, True, False, False]"
728,"[False, True, False, True, True]"
729,"[False, False, False, True, True]"
730,"[True, True, True, True, True]"
731,"[True, True, False, True, True]"
732,"[True, True, False, True, False]"
733,"[True, True, True, True, True]"
734,"[True, True, True, False, True]"
735,"[True, True, True, True, True]"
736,"[True, True, True, True, True]"
737,"[True, True, True, True, True]"
738,"[True, True, False, True, True]"
739,"[True, True, False, True, True]"
740,"[True, True, False, False, True]"
741,"[True, True, True, True, True]"
742,"[True, False, True, True, False]"
743,"[False, True, False, True, True]"
744,"[True, False, True, True, False]"
745,"[True, True, True, True, False]"
746,"[True, True, True, True, False]"
747,"[True, True, True, True, True]"
748,"[True, True, True, True, True]"
749,"[True, True, True, True, True]"
750,"[True, False, False, False, True]"
751,"[True, True, False, True, True]"
752,"[False, True, True, True, True]"
753,"[False, False, True, True, False]"
754,"[True, True, True, True, True]"
755,"[True, True, True, False, True]"
756,"[True, False, True, True, True]"
757,"[False, True, False, True, True]"
758,"[True, True, False, True, True]"
759,"[True, True, True, True, True]"
760,"[True, True, True, False, True]"
761,"[True, True, True, True, False]"
762,"[False, False, True, True, False]"
763,"[True, True, True, True, True]"
764,"[True, True, True, True, True]"
765,"[False, True, True, True, False]"
766,"[True, True, True, True, True]"
767,"[True, True, True, True, True]"
768,"[True, True, True, True, True]"
769,"[True, True, False, False, True]"
770,"[True, True, True, True, False]"
771,"[True, True, True, True, False]"
772,"[True, False, True, False, True]"
773,"[True, False, True, False, True]"
774,"[True, True, True, False, False]"
775,"[True, False, False, True, True]"
776,"[False, False, True, True, True]"
777,"[True, True, True, True, True]"
778,"[True, True, True, False, False]"
779,"[True, True, True, True, True]"
780,"[True, True, True, False, True]"
781,"[True, True, True, False, True]"
782,"[True, True, True, True, True]"
783,"[True, True, True, True, False]"
784,"[True, True, False, False, False]"
785,"[False, False, True, False, True]"
786,"[False, False, True, True, True]"
787,"[True, False, True, True, False]"
788,"[True, True, True, True, True]"
789,"[True, False, False, False, True]"
790,"[True, True, False, True, True]"
791,"[True, True, False, True, True]"
792,"[False, True, False, True, True]"
793,"[False, True, True, True, True]"
794,"[False, True, False, True, False]"
795,"[True, True, True, True, False]"
796,"[False, True, True, False, True]"
797,"[False, True, True, True, True]"
798,"[True, False, False, True, True]"
799,"[True, True, False, True, True]"
800,"[False, False, True, True, True]"
801,"[True, True, False, True, True]"
802,"[True, True, False, True, False]"
803,"[True, False, True, True, True]"
804,"[True, True, True, True, True]"
